subgroup,feature,feature_type,dataset_mean_or_mode,candidate_mean_or_mode,dataset_median_or_frequency,candidate_median_or_frequency,difference,enrichment_ratio,standardized_difference,interpretation
high_score_lower_risk_all,A_site_variance,missing,NA,NA,NA,NA,NA,NA,NA,missing_descriptor
high_score_lower_risk_all,cation_entropy,numeric,0.1383015671316672,0.4414435806539849,0.0,0.4227090878059908,0.30314201352231773,3.1918913849596335,1.207956184371909,enriched_above_dataset
high_score_lower_risk_all,X_site_variance,missing,NA,NA,NA,NA,NA,NA,NA,missing_descriptor
high_score_lower_risk_all,bandgap_bucket,categorical,mid,Unknown,0.6806540536719836,0.7326789838337182,-0.4133330375057019,0.39274138561893784,NA,mode_shifted
high_score_lower_risk_all,bandgap_distance_from_1p7,numeric,0.11908369440454478,0.1090496535796765,0.0999999999999998,0.0999999999999998,-0.010034040824868279,0.9157395907555473,-0.12775992176615658,near_dataset_baseline
high_score_lower_risk_all,quenching_binary,categorical,False,True,0.5167872205075041,0.7488452655889145,-0.4018911466045018,0.22232762216946875,NA,mode_shifted
high_score_lower_risk_all,annealing_energy,numeric,2743.2173892431156,3182.7595266189046,1500.0,2250.0,439.542137375789,1.1602286931758856,0.07007709250198865,near_dataset_baseline
high_score_lower_risk_all,annealing_time_bucket,categorical,short,short,0.4184199985863393,0.3810623556581986,-0.0373576429281407,0.910717358026968,NA,same_mode
high_score_lower_risk_all,annealing_temperature_bucket,categorical,mid,mid,0.5837711754588507,0.5490762124711316,-0.034694962987719125,0.9405675298023263,NA,same_mode
high_score_lower_risk_all,stack_depth_estimate,numeric,8.997445135671782,9.063988989404058,9.0,9.0,0.06654385373227534,1.007395861017085,0.04276552393010771,near_dataset_baseline
high_score_lower_risk_all,device_complexity_score,numeric,8.998431460414167,9.056712708901836,9.0,9.0,0.05828124848766869,1.0064768230712273,0.03735363429444718,near_dataset_baseline
high_score_lower_risk_all,architecture_class,categorical,nip,nip,0.6903376292910491,0.8706697459584296,0.18033211666738047,1.2612230726182125,NA,same_mode
high_score_lower_risk_all,solvent_count,categorical,Unknown,Unknown,0.9895389110100605,1.0,0.010461088989939471,1.010571680278102,NA,same_mode
high_score_lower_risk_all,process_complexity_score,categorical,Unknown,Unknown,0.9895389110100605,1.0,0.010461088989939471,1.010571680278102,NA,same_mode
high_score_lower_risk_all,composition_complexity_score,numeric,2.832308697770042,4.885156481494886,2.0,4.845418175611982,2.052847783724844,1.7247966245138144,1.4335520898168888,enriched_above_dataset
existing_low_risk_high_score,A_site_variance,missing,NA,NA,NA,NA,NA,NA,NA,missing_descriptor
existing_low_risk_high_score,cation_entropy,numeric,0.1383015671316672,0.43993293391490873,0.0,0.4227090878059908,0.30163136678324154,3.180968538816914,1.2019365797329302,enriched_above_dataset
existing_low_risk_high_score,X_site_variance,missing,NA,NA,NA,NA,NA,NA,NA,missing_descriptor
existing_low_risk_high_score,bandgap_bucket,categorical,mid,Unknown,0.6806540536719836,0.7631399317406143,-0.44379398541259796,0.347988918866458,NA,mode_shifted
