feature,importance_gain,is_derived,risk_flag
Cell_area_measured,7.159689107838306,False,risk
Perovskite_deposition_solvents_mixing_ratios,5.66193645974855,False,clean
JV_hysteresis_index,5.581387818960276,False,risk
Perovskite_composition_leadfree,5.5385816204952665,False,clean
bandgap_bucket,4.5166628488701095,True,clean
device_complexity_score,4.1268093586513475,True,clean
Backcontact_thickness_list,4.109755084908521,False,clean
Perovskite_deposition_thermal_annealing_temperature,3.844061748536002,False,clean
quenching_and_annealing_interaction,3.8278590522708456,True,clean
Stability_potential_bias_load_condition,3.4957558081920417,False,clean
annealing_energy,3.3702641333752013,True,clean
Perovskite_deposition_quenching_induced_crystallisation,3.229769690849955,False,clean
leadfree_binary,3.2015081831076038,True,clean
stack_depth_estimate,2.871306040190843,True,clean
Perovskite_composition_a_ions_coefficients,2.6725289875945095,False,risk
Perovskite_composition_c_ions_coefficients,2.5217732458559605,False,risk
Perovskite_band_gap,2.474461529067597,False,clean
JV_scan_speed,2.4689462377737197,False,risk
EQE_measured,2.1705044794524264,False,risk
mixed_cation_count,2.033324324000051,True,clean
ETL_stack_sequence,1.9324352062239678,False,clean
process_complexity_score,1.7213101563562718,True,clean
Perovskite_composition_c_ions,1.708494707498803,False,clean
solvent_count,1.6775116627763755,True,clean
Cell_stack_sequence,1.6552008775201639,False,clean
Perovskite_deposition_thermal_annealing_time,1.6293763992726662,False,clean
composition_complexity_score,1.5629947341136823,True,clean
Perovskite_composition_long_form,1.4560394574921132,False,clean
Perovskite_deposition_number_of_deposition_steps,1.1962155239087306,False,clean
Cell_semitransparent,1.194921741255547,False,clean
