feature,importance
Perovskite_deposition_quenching_induced_crystallisation,0.14107460087411933
Cell_area_measured,0.11520750697122024
Perovskite_composition_leadfree,0.09938093688078853
Perovskite_deposition_thermal_annealing_time,0.06448227302152557
Perovskite_band_gap,0.06396790074000239
Backcontact_thickness_list,0.06344642730774959
Perovskite_thickness,0.062404131492670205
JV_scan_speed,0.04737784019363152
Perovskite_composition_c_ions_Br; I,0.03474193612656145
Perovskite_deposition_thermal_annealing_temperature,0.03219583913961749
ETL_thickness,0.02887955679079961
Stability_measured,0.027342714724616288
Perovskite_composition_c_ions_Br,0.017832236475607294
EQE_measured,0.015673458246229115
Perovskite_deposition_aggregation_state_of_reactants_Liquid >> Liquid,0.015656723237152503
Perovskite_composition_inorganic,0.015538932378010763
Stabilised_performance_measured,0.013332831071663056
JV_test_atmosphere_N2,0.013332661032543724
Perovskite_band_gap_estimation_basis_Composition,0.012406269542753003
Cell_architecture_pin,0.01174749447490387
Cell_architecture_nip,0.01135220121872583
JV_light_intensity,0.009019174736536633
Perovskite_deposition_aggregation_state_of_reactants_Liquid,0.007311183744755753
Cell_semitransparent,0.007141719438827961
Perovskite_deposition_number_of_deposition_steps,0.0070610405722116385
Encapsulation,0.00611198388138563
Cell_flexible,0.005915999641452212
Perovskite_composition_c_ions_coefficients,0.005238486753026523
Perovskite_deposition_solvent_annealing,0.004151617425287687
Perovskite_dimension_3D,0.0028925919751746215
